YearStart,YearEnd,LocationDesc,Class,Topic,Question,Data_Value,Data_Value_Alt,Low_Confidence_Limit,High_Confidence_Limit,Age group,Stratification2,ClassID
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,,,,,50-64 years,Native Am/Alaskan Native,C02
2015,2015,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,9.6,9.6,8.6,10.8,Overall,Overall,C05
2017,2017,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,9.5,9.5,6.2,14.4,Overall,Native Am/Alaskan Native,C05
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,31.3,31.3,26.4,36.7,Overall,Hispanic,C02
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,21.8,21.8,12.3,35.6,65 years or older,"Black, non-Hispanic",C02
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,20.5,20.5,13.4,30.2,50-64 years,"Black, non-Hispanic",C02
2015,2015,Arizona,Overall Health,Taking medication for high blood pressure,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,77.3,77.3,66.7,85.2,50-64 years,Hispanic,C01
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,12.1,12.1,10.5,13.9,65 years or older,Male,C02
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,,,,,50-64 years,Native Am/Alaskan Native,C02
2015,2015,Arizona,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,12.5,12.5,9.2,16.7,Overall,Hispanic,C04
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,14.5,14.5,13.6,15.4,Overall,Overall,C02
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,12.7,12.7,11.5,14.1,Overall,Male,C02
2015,2015,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,,,,65 years or older,Native Am/Alaskan Native,C05
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,30.2,30.2,28.2,32.2,50-64 years,"White, non-Hispanic",C02
2017,2017,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,8.2,8.2,7.1,9.5,65 years or older,Female,C05
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,,,,,65 years or older,Asian/Pacific Islander,C02
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,36.7,36.7,32,41.7,50-64 years,Hispanic,C02
2015,2015,Arizona,Overall Health,Taking medication for high blood pressure,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,,,,,65 years or older,"Black, non-Hispanic",C01
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,30.4,30.4,28.4,32.5,65 years or older,Overall,C02
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,35.3,35.3,33,37.6,Overall,Female,C02
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,27.8,27.8,19.8,37.5,50-64 years,"Black, non-Hispanic",C02
2016,2016,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,14.9,14.9,12.7,17.4,50-64 years,Female,C05
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,21.3,21.3,11.4,36.2,50-64 years,Asian/Pacific Islander,C02
2016,2016,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,,,,65 years or older,Native Am/Alaskan Native,C05
2015,2015,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,8.8,8.8,6.7,11.4,50-64 years,Male,C05
2015,2015,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,7.7,7.7,6.5,9.2,65 years or older,Overall,C05
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,16.4,16.4,14.7,18.2,65 years or older,Overall,C02
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,32.7,32.7,19.2,49.7,Overall,Native Am/Alaskan Native,C02
2015,2015,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,,,,50-64 years,Asian/Pacific Islander,C05
2017,2017,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,,,,65 years or older,"Black, non-Hispanic",C05
2015,2015,Arizona,Overall Health,Taking medication for high blood pressure,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,74.9,74.9,68.9,80.1,50-64 years,Male,C01
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,,,,,65 years or older,Native Am/Alaskan Native,C02
2016,2016,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,14.6,14.6,9.7,21.4,50-64 years,Hispanic,C05
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,33,33,31.5,34.5,65 years or older,Overall,C02
2017,2017,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,,,,65 years or older,Native Am/Alaskan Native,C05
2015,2015,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,,,,65 years or older,"Black, non-Hispanic",C05
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,,,,,65 years or older,"Black, non-Hispanic",C02
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,35.4,35.4,33.4,37.4,65 years or older,Female,C02
2015,2015,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,,,,50-64 years,"Black, non-Hispanic",C05
2015,2015,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,,,,Overall,Native Am/Alaskan Native,C05
2015,2015,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,7.2,7.2,5.9,8.8,65 years or older,Female,C05
2016,2016,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,,,,65 years or older,Asian/Pacific Islander,C05
2015,2015,Arizona,Overall Health,Taking medication for high blood pressure,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,84.3,84.3,77.2,89.5,Overall,Hispanic,C01
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,13,13,11.9,14.3,65 years or older,"White, non-Hispanic",C02
2016,2016,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,7,7,5.4,9.1,65 years or older,Male,C05
2015,2015,Arizona,Overall Health,Taking medication for high blood pressure,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,95.8,95.8,91.1,98.1,65 years or older,Hispanic,C01
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,,,,,50-64 years,"Black, non-Hispanic",C02
2015,2015,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,9.8,9.8,5.6,16.4,65 years or older,Hispanic,C05
2015,2015,Arizona,Overall Health,Taking medication for high blood pressure,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,,,,,50-64 years,Asian/Pacific Islander,C01
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,,,,,65 years or older,Asian/Pacific Islander,C02
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,,,,,Overall,Asian/Pacific Islander,C02
2015,2015,Arizona,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,20.3,20.3,14.5,27.6,65 years or older,Hispanic,C05
2017,2017,Arizona,Overall Health,Taking medication for high blood pressure,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,,,,,65 years or older,Asian/Pacific Islander,C01
2017,2017,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,6.4,6.4,5.3,7.8,65 years or older,Male,C05
2015,2015,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,8.4,8.4,6.2,11.2,65 years or older,Male,C05
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,29.6,29.6,23.4,36.6,50-64 years,Hispanic,C02
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,25.1,25.1,22.2,28.2,65 years or older,Male,C02
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,29.5,29.5,27.8,31.3,Overall,"White, non-Hispanic",C02
2016,2016,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,16,16,9.8,25.1,50-64 years,Native Am/Alaskan Native,C05
2017,2017,Arizona,Overall Health,Taking medication for high blood pressure,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,94.1,94.1,84.2,97.9,65 years or older,"Black, non-Hispanic",C01
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,16,16,14.8,17.3,Overall,Female,C02
2016,2016,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,7.7,7.7,6.5,9,65 years or older,"White, non-Hispanic",C05
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,22.5,22.5,18,27.7,Overall,Hispanic,C02
2017,2017,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,7.4,7.4,6.6,8.3,65 years or older,Overall,C05
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,,,,,Overall,Native Am/Alaskan Native,C02
2015,2015,Arizona,Overall Health,Taking medication for high blood pressure,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,92.5,92.5,90.4,94.2,65 years or older,Female,C01
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,30.1,30.1,27.9,32.4,65 years or older,Male,C02
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,,,,,Overall,"Black, non-Hispanic",C02
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,13.3,13.3,11.5,15.3,50-64 years,Male,C02
2017,2017,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,8.7,8.7,7.6,9.9,Overall,Male,C05
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,15.6,15.6,13.9,17.3,65 years or older,"White, non-Hispanic",C02
2015,2015,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,11.3,11.3,9.7,13.1,50-64 years,Overall,C05
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,29.3,29.3,26.6,32.2,50-64 years,"White, non-Hispanic",C02
2017,2017,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,10.3,10.3,9.5,11.1,Overall,Overall,C05
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,14,14,12.6,15.6,65 years or older,Female,C02
2016,2016,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,10.3,10.3,9.2,11.5,Overall,"White, non-Hispanic",C05
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,29.2,29.2,27.4,31,Overall,Male,C02
2016,2016,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,10.8,10.8,9.7,12,Overall,Overall,C05
2017,2017,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,11.3,11.3,9.1,14,Overall,Hispanic,C05
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,23.6,23.6,20.6,26.8,50-64 years,Female,C02
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,37.6,37.6,27.1,49.3,65 years or older,"Black, non-Hispanic",C02
2015,2015,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,7.2,7.2,6,8.6,65 years or older,"White, non-Hispanic",C05
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,13.9,13.9,12,16,Overall,Male,C02
2017,2017,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,,,,50-64 years,Asian/Pacific Islander,C05
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,21.9,21.9,16.4,28.6,50-64 years,Hispanic,C02
2016,2016,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,13.1,13.1,11.3,15.2,50-64 years,"White, non-Hispanic",C05
2016,2016,Arizona,Screenings and Vaccines,Mammogram within past 2 years,Percentage of older adult women who have received a mammogram within the past 2 years,57.1,57.1,45.1,68.4,Overall,Native Am/Alaskan Native,C03
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,,,,,65 years or older,Native Am/Alaskan Native,C02
2017,2017,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,11.3,11.3,6.8,18.1,50-64 years,Native Am/Alaskan Native,C05
2016,2016,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,12.8,12.8,11.1,14.8,50-64 years,Overall,C05
2016,2016,Arizona,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,9.8,9.8,7.9,12,65 years or older,Male,C04
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,32,32,30.3,33.8,50-64 years,Overall,C02
2015,2015,Arizona,Overall Health,Taking medication for high blood pressure,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,,,,,Overall,Asian/Pacific Islander,C01
2017,2017,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,9.8,9.8,9,10.6,Overall,"White, non-Hispanic",C05
2017,2017,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,12.6,12.6,11.2,14.1,50-64 years,"White, non-Hispanic",C05
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,27.1,27.1,18,38.6,Overall,Asian/Pacific Islander,C02
2015,2015,Arizona,Overall Health,Taking medication for high blood pressure,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,87,87,84.6,89,Overall,Female,C01
2015,2015,Arizona,Overall Health,Taking medication for high blood pressure,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,89.9,89.9,86.1,92.8,65 years or older,Male,C01
2017,2017,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,10.6,10.6,9,12.6,50-64 years,Male,C05
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,21.1,21.1,19.2,23.2,Overall,Female,C02
2015,2015,Arizona,Overall Health,Taking medication for high blood pressure,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,,,,,50-64 years,"Black, non-Hispanic",C01
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,34.2,34.2,26.6,42.6,Overall,Native Am/Alaskan Native,C02
2016,2016,Arizona,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,53.4,53.4,51.4,55.4,65 years or older,Overall,C03
2017,2017,Arizona,Overall Health,Taking medication for high blood pressure,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,,,,,Overall,Asian/Pacific Islander,C01
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,31.2,31.2,18.4,47.5,Overall,Asian/Pacific Islander,C02
2017,2017,Arizona,Overall Health,Taking medication for high blood pressure,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,,,,,50-64 years,Asian/Pacific Islander,C01
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,31.7,31.7,20.5,45.5,Overall,"Black, non-Hispanic",C02
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,33.8,33.8,22.4,47.5,65 years or older,Native Am/Alaskan Native,C02
2015,2015,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,10.6,10.6,9.2,12.1,Overall,Female,C05
2015,2015,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,13.5,13.5,11.2,16.2,50-64 years,Female,C05
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,13.5,13.5,10.7,16.8,50-64 years,Male,C02
2015,2015,Arizona,Overall Health,Taking medication for high blood pressure,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,88.6,88.6,66.5,96.8,Overall,"Black, non-Hispanic",C01
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,14.5,14.5,13.6,15.5,Overall,"White, non-Hispanic",C02
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,,,,,65 years or older,Asian/Pacific Islander,C02
2016,2016,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,13.6,13.6,9,20.1,65 years or older,Hispanic,C05
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,32.5,32.5,31,34.2,65 years or older,"White, non-Hispanic",C02
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,23.8,23.8,17,32.2,65 years or older,Hispanic,C02
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,26.4,26.4,15.8,40.7,65 years or older,Native Am/Alaskan Native,C02
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,41.7,41.7,27.7,57.3,50-64 years,Asian/Pacific Islander,C02
2015,2015,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,,,,65 years or older,Asian/Pacific Islander,C05
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,18.9,18.9,16.6,21.5,50-64 years,"White, non-Hispanic",C02
2015,2015,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,8.6,8.6,7.6,9.8,Overall,"White, non-Hispanic",C05
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,,,,,50-64 years,Asian/Pacific Islander,C02
2015,2015,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,8.6,8.6,7,10.4,Overall,Male,C05
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,16.5,16.5,11.4,23.5,Overall,"Black, non-Hispanic",C02
2017,2017,Arizona,Overall Health,Taking medication for high blood pressure,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,90.6,90.6,83.6,94.7,Overall,"Black, non-Hispanic",C01
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,29.7,29.7,27.2,32.3,50-64 years,Overall,C02
2017,2017,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,,,,65 years or older,Asian/Pacific Islander,C05
2016,2016,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,,,,50-64 years,"Black, non-Hispanic",C05
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,35.4,35.4,33.8,37,Overall,Female,C02
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,34.3,34.3,28.5,40.7,65 years or older,Hispanic,C02
2017,2017,Arizona,Overall Health,Taking medication for high blood pressure,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,83.7,83.7,80.5,86.5,50-64 years,Female,C01
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,20.3,20.3,14.6,27.5,Overall,Native Am/Alaskan Native,C02
2015,2015,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,22.9,22.9,19.5,26.8,50-64 years,Male,C02
2017,2017,Arizona,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,15,15,12.3,18.1,Overall,Hispanic,C04
2017,2017,Arizona,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,34.3,34.3,25,45,50-64 years,Native Am/Alaskan Native,C02
2017,2017,Arizona,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,7.3,7.3,6.5,8.3,65 years or older,"White, non-Hispanic",C05
